,Topic,Label
0,watch_factors_3_june,1
1,soccer_win_japan_cup_asia,1
2,rating_moody_assigns_bonds_2013,1
3,rpt,0
4,new,0
5,2_market_june,1
6,rugby_reuters_oil,0
7,topic_7,0
8,test_ignore,0
9,bank_outlook,0
10,3_june_press,1
11,tennis_buzz_usd,1
12,results_memorial_update,0
13,banks_moody,1
14,says,0
15,open,0
16,pct,0
17,india_research_alert,1
18,indonesia_fall,1
19,1_june,0
20,standings_championship_results_soccer,0
21,data_china,0
22,table_jun_01_india,1
23,australia_diary_brief,1
24,stocks_press,1
25,china_pmi_shares,1
26,u.s_power_plant_gas_mw_california,0
27,update,0
28,north_american_transmission_pjm_outage_power,1
29,aud_buzz_usd,1